,Permit Number,Permit Type,Permit Type Definition,Permit Creation Date,Block,Lot,Street Number,Street Number Suffix,Street Name,Street Suffix,Unit,Unit Suffix,Description,Current Status,Current Status Date,Filed Date,Issued Date,Completed Date,First Construction Document Date,Structural Notification,Number of Existing Stories,Number of Proposed Stories,Voluntary Soft-Story Retrofit,Fire Only Permit,Permit Expiration Date,Estimated Cost,Revised Cost,Existing Use,Existing Units,Proposed Use,Proposed Units,Plansets,TIDF Compliance,Existing Construction Type,Existing Construction Type Description,Proposed Construction Type,Proposed Construction Type Description,Site Permit,Supervisor District,Neighborhoods - Analysis Boundaries,Zipcode,Location,Record ID,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,DELETE - Zip Codes,DELETE - Fire Prevention Districts,DELETE - Supervisor Districts,DELETE - Current Police Districts,DELETE - Supervisorial_Districts_Waterline_data_from_7pkg_wer3,apn,new_units
82582,201503241783,8,otc alterations permit,2015-03-24,0280,002,839,,Leavenworth,St,,,"correct the record only - no new work. show legal use as 52 dwelling units.  for administrative purpose only, no construction.",cancelled,2015-09-10,2015-03-24,2015-04-06,,,,5.0,6.0,,,2016-03-31,1.0,1.0,apartments,50.0,apartments,52.0,2.0,,3.0,constr type 3,3.0,constr type 3,,3.0,Nob Hill,94109.0,"(37.78890669050744, -122.41554378730474)",1375500233524,50.0,6.0,3.0,21.0,28858.0,13.0,10.0,1.0,2.0,0280/002,2.0
82525,201503241740,8,otc alterations permit,2015-03-24,5716,002,460,,Andover,St,,,"interior remodeling: add 2nd unit to ground floor, partial foundation replacement.  no building enlargement",complete,2016-07-20,2015-03-24,2015-06-03,2016-07-20,,,3.0,3.0,,,2016-05-28,60000.0,100000.0,1 family dwelling,1.0,2 family dwelling,2.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,9.0,Bernal Heights,94110.0,"(37.73752366412374, -122.41688417502779)",1375440187571,61.0,9.0,2.0,2.0,28859.0,2.0,7.0,4.0,7.0,5716/002,1.0
85982,201504234380,8,otc alterations permit,2015-04-23,1428,066,280,,06th,Av,,,"revision to: 2008 0408 9107 &  2014.1124.2295; 1st flr: relocate walls at new bedroms, 2nd flr: relocaet/remove rear windows, construct new wall and seperate front entrance. 4th flr: relocate door, new skylights and remove 1 window facing yard. 2nd/3rd/4th flr: new elect fireplace",complete,2015-11-06,2015-04-23,2015-04-30,2015-11-06,,,0.0,4.0,,,2016-04-24,3000.0,6000.0,vacant lot,0.0,apartments,3.0,2.0,,,,5.0,wood frame (5),,1.0,Inner Richmond,94118.0,"(37.783378863352375, -122.46412489606409)",1379042502812,5.0,8.0,4.0,11.0,54.0,11.0,2.0,9.0,9.0,1428/066,3.0
85747,201504214193,8,otc alterations permit,2015-04-21,0130,020,780,,Vallejo,St,,,install fire alarm system(building under pa#2013 1105 1179,complete,2016-03-04,2015-04-21,2015-04-23,2016-03-04,,,3.0,3.0,,Y,2016-04-17,2300.0,2300.0,2 family dwelling,2.0,apartments,3.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,3.0,Chinatown,94133.0,"(37.798607525782515, -122.41010232571413)",1378796349213,106.0,6.0,3.0,6.0,308.0,3.0,10.0,1.0,2.0,0130/020,1.0
84955,201504143560,8,otc alterations permit,2015-04-14,0676,033,1800,,Sutter,St,,,1st thru 4th flrs: conversion of 2 (e) mtg rms & 1 fitness ctr into 3 (n) king guestrooms. conversion of 2 e guestrooms into fitness ctr & mtg rm w/(n) toilet rooms.  nw mobility guestroom #609 under barrier removal permit 201502178527 will not be built 1 of 3 (n) king rooms under this permit will,complete,2016-07-28,2015-04-14,2015-09-22,2016-07-28,,,8.0,8.0,,,2018-09-06,100000.0,189600.0,tourist hotel/motel,130.0,tourist hotel/motel,131.0,2.0,,1.0,constr type 1,1.0,constr type 1,,5.0,Pacific Heights,94115.0,"(37.78680912159582, -122.43032749430697)",137797578516,101.0,4.0,11.0,30.0,29490.0,13.0,11.0,6.0,10.0,0676/033,1.0
84713,201504103372,8,otc alterations permit,2015-04-10,3576,039,37,,Lexington,St,,,"ground flr: install 16 new fire sprinklers.  nfpa#13 & 13r. and new 2"" undergrounf piping per nfpa #25revision to 2014 0206 7973",issued,2015-04-10,2015-04-10,2015-04-10,,,,3.0,3.0,,Y,2016-04-04,1.0,1.0,2 family dwelling,2.0,apartments,3.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,9.0,Mission,94110.0,"(37.76218553515064, -122.42065015406835)",1377727377985,53.0,3.0,2.0,20.0,28859.0,8.0,7.0,7.0,7.0,3576/039,1.0
84650,201504103310,8,otc alterations permit,2015-04-10,3507,009,1400,,Mission,St,,,44 evac maps floors 1-15,complete,2019-04-25,2015-04-10,2015-04-10,2019-04-25,,,,15.0,,Y,2016-04-04,11000.0,13200.0,vacant lot,,apartments,190.0,2.0,,,,1.0,constr type 1,,,,,,1377663156279,,,,,,,,,,3507/009,190.0
84615,201504093281,8,otc alterations permit,2015-04-09,0029,007,555,,North Point,St,,,"for administrative purposes only to correct record guest room count as 316, changed from 313. no construction or alteration work of any kind",issued,2015-06-30,2015-04-09,2015-06-30,,,,5.0,5.0,,,2016-06-24,1.0,1.0,tourist hotel/motel,313.0,tourist hotel/motel,316.0,2.0,,1.0,constr type 1,1.0,constr type 1,,3.0,North Beach,94133.0,"(37.80583175574676, -122.41602851989043)",137762556355,99.0,6.0,3.0,23.0,308.0,5.0,10.0,1.0,2.0,0029/007,3.0
84589,201504093263,8,otc alterations permit,2015-04-09,4274,001,1304,,York,St,,,install new fire sprinkler system for garage & new unit on ground floor and underground only.  ref pa #2013.1011.9147.,complete,2017-09-29,2015-04-09,2015-04-17,2017-09-29,,,3.0,3.0,,Y,2016-04-11,8000.0,8000.0,2 family dwelling,2.0,apartments,3.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,9.0,Mission,94110.0,"(37.75111467776149, -122.4082499700128)",1377597497535,53.0,3.0,2.0,20.0,28859.0,2.0,7.0,7.0,7.0,4274/001,1.0
84011,201504062863,8,otc alterations permit,2015-04-06,0914,001E,3725,,Divisadero,St,,,to obtain for final inspection for pa#9008628. all work is complete.,complete,2015-04-14,2015-04-06,2015-04-06,2015-04-14,,,,3.0,,,2016-03-31,1.0,1.0,,,2 family dwelling,2.0,0.0,,,,5.0,wood frame (5),,2.0,Marina,94123.0,"(37.80403061195596, -122.4439876385671)",1376995375400,17.0,4.0,6.0,13.0,57.0,13.0,1.0,6.0,11.0,0914/001E,2.0
84010,201504062863,8,otc alterations permit,2015-04-06,0914,001E,3723,,Divisadero,St,,,to obtain for final inspection for pa#9008628. all work is complete.,complete,2015-04-14,2015-04-06,2015-04-06,2015-04-14,,,,3.0,,,2016-03-31,1.0,1.0,,,2 family dwelling,2.0,0.0,,,,5.0,wood frame (5),,2.0,Marina,94123.0,"(37.80403061195596, -122.4439876385671)",137699483981,17.0,4.0,6.0,13.0,57.0,13.0,1.0,6.0,11.0,0914/001E,2.0
78792,201502198692,8,otc alterations permit,2015-02-19,7331,224,117,,Summit,Wy,,,"deferred submittal of roof truss framing & associated calculations at above address with pa 201405155826 (type c, elev. a) by reference to pa 201403100320 master bldg roof truss plan & calculation. this is an identical reuse of the master bldg & truss permit plans.",issued,2015-02-25,2015-02-19,2015-02-25,,,,,4.0,,,2016-02-20,3000.0,3000.0,,,2 family dwelling,2.0,2.0,,,,5.0,wood frame (5),,7.0,Lakeshore,94132.0,"(37.71522275401457, -122.47574088682222)",1371569501221,42.0,10.0,8.0,16.0,64.0,1.0,4.0,5.0,5.0,7331/224,2.0
78791,201502198692,8,otc alterations permit,2015-02-19,7331,223,115,,Summit,Wy,,,"deferred submittal of roof truss framing & associated calculations at above address with pa 201405155826 (type c, elev. a) by reference to pa 201403100320 master bldg roof truss plan & calculation. this is an identical reuse of the master bldg & truss permit plans.",issued,2015-02-25,2015-02-19,2015-02-25,,,,,4.0,,,2016-02-20,3000.0,3000.0,,,2 family dwelling,2.0,2.0,,,,5.0,wood frame (5),,7.0,Lakeshore,94132.0,"(37.71522275401457, -122.47574088682222)",1371568501225,42.0,10.0,8.0,16.0,64.0,1.0,4.0,5.0,5.0,7331/223,2.0
78789,201502198690,8,otc alterations permit,2015-02-19,7331,220,109,,Summit,Wy,,,"deferred submittal of roof truss framing & associated calculations at above address with pa 201405155814 (type c, elev. a) by reference to pa 201403100320 master bldg roof truss plan & calculation. this is an identical reuse of the master bldg & truss permit plans.",issued,2015-02-25,2015-02-19,2015-02-25,,,,,4.0,,,2016-02-20,3000.0,3000.0,,,2 family dwelling,2.0,2.0,,,,5.0,wood frame (5),,7.0,Lakeshore,94132.0,"(37.71519667691715, -122.47553091453592)",1371565501219,42.0,10.0,8.0,16.0,64.0,1.0,4.0,5.0,5.0,7331/220,2.0
78788,201502198690,8,otc alterations permit,2015-02-19,7331,219,107,,Summit,Wy,,,"deferred submittal of roof truss framing & associated calculations at above address with pa 201405155814 (type c, elev. a) by reference to pa 201403100320 master bldg roof truss plan & calculation. this is an identical reuse of the master bldg & truss permit plans.",issued,2015-02-25,2015-02-19,2015-02-25,,,,,4.0,,,2016-02-20,3000.0,3000.0,,,2 family dwelling,2.0,2.0,,,,5.0,wood frame (5),,7.0,Lakeshore,94132.0,"(37.71519667691715, -122.47553091453592)",1371564501227,42.0,10.0,8.0,16.0,64.0,1.0,4.0,5.0,5.0,7331/219,2.0
78781,201502198684,8,otc alterations permit,2015-02-19,7331,162,132,,Summit,Wy,,,"defferred submittal of roof truss framing & associated calculations at above address with pa 201405155794 (type a, elev a) by reference, pa 201403100313 master bldg roof truss plan & calcs. this is an idential reuse of the master bldg & truss permit plans.",issued,2015-02-25,2015-02-19,2015-02-25,,,,,3.0,,,2016-02-20,3000.0,3000.0,,,2 family dwelling,2.0,2.0,,,,5.0,wood frame (5),,7.0,Lakeshore,94132.0,"(37.71554709271827, -122.47556298214816)",1371557501160,42.0,10.0,8.0,16.0,64.0,1.0,4.0,5.0,5.0,7331/162,2.0
78780,201502198684,8,otc alterations permit,2015-02-19,7331,161,130,,Summit,Wy,,,"defferred submittal of roof truss framing & associated calculations at above address with pa 201405155794 (type a, elev a) by reference, pa 201403100313 master bldg roof truss plan & calcs. this is an idential reuse of the master bldg & truss permit plans.",issued,2015-02-25,2015-02-19,2015-02-25,,,,,3.0,,,2016-02-20,3000.0,3000.0,,,2 family dwelling,2.0,2.0,,,,5.0,wood frame (5),,7.0,Lakeshore,94132.0,"(37.71554709271827, -122.47556298214816)",1371556501162,42.0,10.0,8.0,16.0,64.0,1.0,4.0,5.0,5.0,7331/161,2.0
78778,201502198683,8,otc alterations permit,2015-02-19,7331,164,138,,Summit,Wy,,,"defferred submittal of roof truss framing & associated calculations at above address with pa 201405155795 (type a, elev b) by reference, pa 201403100313 master bldg roof truss plan & calcs. this is an idential reuse of the master bldg & truss permit plans.",issued,2015-02-25,2015-02-19,2015-02-25,,,,,3.0,,,2016-02-20,3000.0,3000.0,vacant lot,,2 family dwelling,2.0,2.0,,,,5.0,wood frame (5),,7.0,Lakeshore,94132.0,"(37.71555352409737, -122.47565364853185)",1371554501177,42.0,10.0,8.0,16.0,64.0,1.0,4.0,5.0,5.0,7331/164,2.0
78777,201502198683,8,otc alterations permit,2015-02-19,7331,163,136,,Summit,Wy,,,"defferred submittal of roof truss framing & associated calculations at above address with pa 201405155795 (type a, elev b) by reference, pa 201403100313 master bldg roof truss plan & calcs. this is an idential reuse of the master bldg & truss permit plans.",issued,2015-02-25,2015-02-19,2015-02-25,,,,,3.0,,,2016-02-20,3000.0,3000.0,vacant lot,,2 family dwelling,2.0,2.0,,,,5.0,wood frame (5),,7.0,Lakeshore,94132.0,"(37.71555352409737, -122.47565364853185)",1371553501173,42.0,10.0,8.0,16.0,64.0,1.0,4.0,5.0,5.0,7331/163,2.0
78776,201502198682,8,otc alterations permit,2015-02-19,7331,166,152,,Summit,Wy,,,"defferred submittal of roof truss framing & associated calculations at above address with pa 201405155796 (type a, elev.c) by reference, pa 201403100313 master bldg roof truss plan & calcs. this is an idential reuse of the master bldg & truss permit plans.",issued,2015-02-25,2015-02-19,2015-02-25,,,,,3.0,,,2016-02-20,3000.0,3000.0,,,2 family dwelling,2.0,2.0,,,,5.0,wood frame (5),,7.0,Lakeshore,94132.0,"(37.7155599553972, -122.47574431549818)",1371552501175,42.0,10.0,8.0,16.0,64.0,1.0,4.0,5.0,5.0,7331/166,2.0
78775,201502198682,8,otc alterations permit,2015-02-19,7331,165,150,,Summit,Wy,,,"defferred submittal of roof truss framing & associated calculations at above address with pa 201405155796 (type a, elev.c) by reference, pa 201403100313 master bldg roof truss plan & calcs. this is an idential reuse of the master bldg & truss permit plans.",issued,2015-02-25,2015-02-19,2015-02-25,,,,,3.0,,,2016-02-20,3000.0,3000.0,,,2 family dwelling,2.0,2.0,,,,5.0,wood frame (5),,7.0,Lakeshore,94132.0,"(37.7155599553972, -122.47574431549818)",1371551501169,42.0,10.0,8.0,16.0,64.0,1.0,4.0,5.0,5.0,7331/165,2.0
78770,201502198681,8,otc alterations permit,2015-02-19,7331,160,128,,Summit,Wy,,,"defferred submittal of roof truss framing & associated calculations at above address with pa 201405155781 (type a, elev. c) by reference, pa 201403100313 master bldg roof truss plan & calcs. this is an idential reuse of the master bldg & truss permit plans.",issued,2015-02-25,2015-02-19,2015-02-25,,,,,3.0,,,2016-02-20,3000.0,3000.0,,,2 family dwelling,2.0,2.0,,,,5.0,wood frame (5),,7.0,Lakeshore,94132.0,"(37.715540661288344, -122.4754723146462)",1371546501164,42.0,10.0,8.0,16.0,64.0,1.0,4.0,5.0,5.0,7331/160,2.0
78769,201502198681,8,otc alterations permit,2015-02-19,7331,159,126,,Summit,Wy,,,"defferred submittal of roof truss framing & associated calculations at above address with pa 201405155781 (type a, elev. c) by reference, pa 201403100313 master bldg roof truss plan & calcs. this is an idential reuse of the master bldg & truss permit plans.",issued,2015-02-25,2015-02-19,2015-02-25,,,,,3.0,,,2016-02-20,3000.0,3000.0,,,2 family dwelling,2.0,2.0,,,,5.0,wood frame (5),,7.0,Lakeshore,94132.0,"(37.715540661288344, -122.4754723146462)",1371545501166,42.0,10.0,8.0,16.0,64.0,1.0,4.0,5.0,5.0,7331/159,2.0
78691,201502188625,8,otc alterations permit,2015-02-18,1386,015,283,,26th,Av,,,to obtain final inspection for work approved under pa 201301248633; all work is complete.,complete,2016-01-21,2015-02-18,2015-02-23,2016-01-21,,,3.0,4.0,,,2016-02-18,1.0,1.0,2 family dwelling,2.0,apartments,3.0,0.0,,5.0,wood frame (5),5.0,wood frame (5),,2.0,Outer Richmond,94121.0,"(37.78423611069234, -122.48644285915094)",1371466450250,2.0,8.0,6.0,29.0,55.0,11.0,1.0,9.0,11.0,1386/015,1.0
78690,201502188625,8,otc alterations permit,2015-02-18,1386,015,279,,26th,Av,,,to obtain final inspection for work approved under pa 201301248633; all work is complete.,complete,2016-01-21,2015-02-18,2015-02-23,2016-01-21,,,3.0,4.0,,,2016-02-18,1.0,1.0,2 family dwelling,2.0,apartments,3.0,0.0,,5.0,wood frame (5),5.0,wood frame (5),,2.0,Outer Richmond,94121.0,"(37.78423611069234, -122.48644285915094)",137146597904,2.0,8.0,6.0,29.0,55.0,11.0,1.0,9.0,11.0,1386/015,1.0
78830,201502198722,8,otc alterations permit,2015-02-19,6593,006,230,,Duncan,St,,,to obtain final inspection for work approved under pa#200602073988. all work is complete.,complete,2016-05-27,2015-02-19,2015-02-19,2016-05-27,,,,4.0,,,2016-02-14,1.0,1.0,,,2 family dwelling,2.0,0.0,,,,5.0,wood frame (5),,8.0,Noe Valley,94131.0,"(37.746424479152616, -122.42555962298661)",1371606208484,84.0,9.0,5.0,22.0,63.0,2.0,5.0,4.0,1.0,6593/006,2.0
78831,201502198722,8,otc alterations permit,2015-02-19,6593,006,232,,Duncan,St,,,to obtain final inspection for work approved under pa#200602073988. all work is complete.,complete,2016-05-27,2015-02-19,2015-02-19,2016-05-27,,,,4.0,,,2016-02-14,1.0,1.0,,,2 family dwelling,2.0,0.0,,,,5.0,wood frame (5),,8.0,Noe Valley,94131.0,"(37.746424479152616, -122.42555962298661)",1371607491241,84.0,9.0,5.0,22.0,63.0,2.0,5.0,4.0,1.0,6593/006,2.0
81364,201503130793,8,otc alterations permit,2015-03-13,0785,051,388,,Fulton,St,,,"underground fire water for sprinkler  system approved under 201303273113s_$- connection  to  8"" cwm on gough street",complete,2017-08-02,2015-03-13,2015-03-13,2017-08-02,,,,6.0,,Y,2016-03-07,8000.0,11000.0,vacant lot,,apartments,69.0,2.0,,,,3.0,constr type 3,,5.0,Hayes Valley,94102.0,"(37.779040926301455, -122.42311024937744)",1374237501748,21.0,4.0,11.0,9.0,28852.0,7.0,11.0,6.0,10.0,0785/051,69.0
81033,201503110497,8,otc alterations permit,2015-03-11,3533,165,85,,Brosnan,St,0.0,,"install (n) fire alarm system w/ifo-50 control unit on 1st flr. smoke detectors above & pull station near panel. notification appliances will be installed throughout flr area. tie-in waterflow & tamper switch to (n) control unit,ref pa# 2007 0810 9444 s-2 & pp 2008 0319005,maher - not req'd",complete,2016-03-28,2015-03-11,2015-03-11,2016-03-28,,,0.0,4.0,,Y,2016-03-05,7500.0,10280.0,vacant lot,0.0,apartments,3.0,2.0,,,,5.0,wood frame (5),,8.0,Mission,94103.0,"(37.768500747188526, -122.42397945559057)",1373893457971,37.0,3.0,5.0,20.0,28853.0,8.0,5.0,7.0,1.0,3533/165,3.0
81930,201503181251,8,otc alterations permit,2015-03-18,1642,036,658,,03rd,Av,,,"1) revision to  ongoing construction permit #200711198515. 2) 2nd floor: eliminate 1 full bath, reconfigurate 1 full bath and add 1/2 bath. 3) third floor: no change. 4) 4th fl. add 2 bedrooms, 1 full bathroom & 30"" cabinet wet bar.",issued,2015-03-24,2015-03-18,2015-03-24,,,,2.0,4.0,,,2016-03-18,50000.0,80000.0,1 family dwelling,1.0,2 family dwelling,2.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,1.0,Inner Richmond,94118.0,"(37.776291012018945, -122.46038685369385)",1374822108183,5.0,8.0,4.0,11.0,54.0,11.0,2.0,9.0,9.0,1642/036,1.0
80074,201503029742,8,otc alterations permit,2015-03-02,0315,003,225,,Powell,St,,,revision to appl #2014.1003.8007 & 2015.0203.7376 - relocate proposed bathrooms  from level 2 - 7.,complete,2015-04-22,2015-03-02,2015-03-19,2015-04-22,,,7.0,7.0,,,2016-03-13,1.0,1.0,tourist hotel/motel,188.0,tourist hotel/motel,195.0,2.0,,3.0,constr type 3,3.0,constr type 3,,3.0,Tenderloin,94102.0,"(37.78675094386961, -122.40846710769029)",1372898389100,19.0,5.0,3.0,36.0,28852.0,5.0,10.0,10.0,2.0,0315/003,7.0
79427,201502249207,8,otc alterations permit,2015-02-24,0829,029A,504,,Hickory,St,,,"install new fire sprinkler system throughout per nfpa 13 included 2"" underground fire service. total 46 heads. ref. appl. 201408143880.",issued,2015-02-26,2015-02-24,2015-02-26,,,,2.0,2.0,,Y,2016-02-21,23000.0,23000.0,2 family dwelling,2.0,apartments,3.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,5.0,Hayes Valley,94102.0,"(37.77494227653238, -122.42800635726537)",137222882536,22.0,4.0,11.0,9.0,28852.0,7.0,11.0,6.0,10.0,0829/029A,1.0
79419,201502249207,8,otc alterations permit,2015-02-24,0829,029A,502,,Hickory,St,,,"install new fire sprinkler system throughout per nfpa 13 included 2"" underground fire service. total 46 heads. ref. appl. 201408143880.",issued,2015-02-26,2015-02-24,2015-02-26,,,,2.0,2.0,,Y,2016-02-21,23000.0,23000.0,2 family dwelling,2.0,apartments,3.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,5.0,Hayes Valley,94102.0,"(37.77494227653238, -122.42800635726537)",1372220489582,22.0,4.0,11.0,9.0,28852.0,7.0,11.0,6.0,10.0,0829/029A,1.0
78978,201502208861,8,otc alterations permit,2015-02-20,6556,015,4352,,26th,St,,,add shotcrete construction to previously approved permit application 201208086891,complete,2016-12-20,2015-02-20,2015-02-24,2016-12-20,,,,4.0,,,2016-02-19,1.0,1.0,,,1 family dwelling,1.0,2.0,,,,5.0,wood frame (5),,8.0,Noe Valley,94114.0,"(37.748134109482635, -122.43720632082915)",1371765207453,84.0,3.0,5.0,22.0,28862.0,2.0,5.0,7.0,1.0,6556/015,1.0
80101,201503039764,8,otc alterations permit,2015-03-03,3596,113,899,,Valencia,St,,,revise fire alarm permit issued under pa#201405095353. n/a ordiance #155-13,issued,2015-03-04,2015-03-03,2015-03-04,,,,,5.0,,Y,2016-02-27,1.0,1.0,vacant lot,0.0,apartments,18.0,2.0,,,,5.0,wood frame (5),,9.0,Mission,94110.0,"(37.75875617129851, -122.4209703998858)",1372928368357,53.0,3.0,2.0,20.0,28859.0,2.0,7.0,7.0,7.0,3596/113,18.0
90836,201506048182,8,otc alterations permit,2015-06-04,7331,207,77,,Summit,Wy,,,"correction of lot number for 75, 77 summit way, 75 summit way to be block 7331, lot 208 & 77 summit way to be block 7331, lot 207. reference pa #201312315320.",complete,2015-06-10,2015-06-04,2015-06-09,2015-06-10,,,,4.0,,,2016-06-03,1.0,1.0,,,2 family dwelling,2.0,0.0,,,,5.0,wood frame (5),,7.0,Lakeshore,94132.0,"(37.71499335311948, -122.47497051666998)",1384089504167,42.0,10.0,8.0,16.0,64.0,1.0,4.0,5.0,5.0,7331/207,2.0
90834,201506048182,8,otc alterations permit,2015-06-04,7331,208,75,,Summit,Wy,,,"correction of lot number for 75, 77 summit way, 75 summit way to be block 7331, lot 208 & 77 summit way to be block 7331, lot 207. reference pa #201312315320.",complete,2015-06-10,2015-06-04,2015-06-09,2015-06-10,,,,4.0,,,2016-06-03,1.0,1.0,,,2 family dwelling,2.0,0.0,,,,5.0,wood frame (5),,7.0,Lakeshore,94132.0,"(37.71499335311948, -122.47497051666998)",1384088504166,42.0,10.0,8.0,16.0,64.0,1.0,4.0,5.0,5.0,7331/208,2.0
90829,201506048179,8,otc alterations permit,2015-06-04,7331,203,69,,Summit,Wy,,,"correction of lot number for 67, 69 summit way, 67 summit way to be block 7331, lot 204 & 69 summit way to be block 7331, lot 203. reference pa #201209119425.",complete,2015-06-10,2015-06-04,2015-06-09,2015-06-10,,,,4.0,,,2016-06-03,1.0,1.0,,,2 family dwelling,2.0,0.0,,,,5.0,wood frame (5),,7.0,Lakeshore,94132.0,"(37.71489505804245, -122.47480056592023)",1384083504106,42.0,10.0,8.0,16.0,64.0,1.0,4.0,5.0,5.0,7331/203,2.0
90827,201506048179,8,otc alterations permit,2015-06-04,7331,204,67,,Summit,Wy,,,"correction of lot number for 67, 69 summit way, 67 summit way to be block 7331, lot 204 & 69 summit way to be block 7331, lot 203. reference pa #201209119425.",complete,2015-06-10,2015-06-04,2015-06-09,2015-06-10,,,,4.0,,,2016-06-03,1.0,1.0,,,2 family dwelling,2.0,0.0,,,,5.0,wood frame (5),,7.0,Lakeshore,94132.0,"(37.71489505804245, -122.47480056592023)",1384081504107,42.0,10.0,8.0,16.0,64.0,1.0,4.0,5.0,5.0,7331/204,2.0
90674,201506048063,8,otc alterations permit,2015-06-04,0349,021,121,,Golden Gate,Av,,,install a solar hot water heating system. roof-mounted collectors and storage tank (roof mech room).; maher n/a,issued,2015-10-21,2015-06-04,2015-10-21,,,,,10.0,,,2016-10-15,60000.0,80000.0,,,apartments,90.0,2.0,,,,1.0,constr type 1,,6.0,Tenderloin,94102.0,"(37.7817486378527, -122.41252438662428)",1383928501337,20.0,5.0,10.0,36.0,28852.0,7.0,9.0,10.0,3.0,0349/021,90.0
90616,201506038008,8,otc alterations permit,2015-06-03,7331,231,165,,Summit,Wy,,,fire sprinkler system. this permit references maters building type c p 201209119425 amended by 201401317504 also refrences master fire sprinkler permit 201401318504 and building plot plan  201502047442 as builts may be required per fire inspector,complete,2016-03-10,2015-06-03,2015-06-05,2016-03-10,,,,4.0,,Y,2016-05-30,1.0,1.0,,0.0,2 family dwelling,2.0,0.0,,,,5.0,wood frame (5),,7.0,Lakeshore,94132.0,"(37.71525556862301, -122.47622648361741)",1383866504117,42.0,10.0,8.0,16.0,64.0,1.0,4.0,5.0,5.0,7331/231,2.0
90615,201506038008,8,otc alterations permit,2015-06-03,7331,232,163,,Summit,Wy,,,fire sprinkler system. this permit references maters building type c p 201209119425 amended by 201401317504 also refrences master fire sprinkler permit 201401318504 and building plot plan  201502047442 as builts may be required per fire inspector,complete,2016-03-10,2015-06-03,2015-06-05,2016-03-10,,,,4.0,,Y,2016-05-30,1.0,1.0,,0.0,2 family dwelling,2.0,0.0,,,,5.0,wood frame (5),,7.0,Lakeshore,94132.0,"(37.71525556862301, -122.47622648361741)",1383865504116,42.0,10.0,8.0,16.0,64.0,1.0,4.0,5.0,5.0,7331/232,2.0
90360,201506027803,8,otc alterations permit,2015-06-02,0676,033,1800,,Sutter,St,,,administrative permit to correct (e) and proposed hotel guest room count from 120-125 rooms to 125-130 rooms figures provided on approved permit #2013 0521 7469. no work to be done on the building under this permit.,complete,2015-06-30,2015-06-02,2015-06-04,2015-06-30,,,8.0,8.0,,,2016-05-29,1.0,1.0,tourist hotel/motel,120.0,tourist hotel/motel,130.0,0.0,,1.0,constr type 1,1.0,constr type 1,,5.0,Pacific Heights,94115.0,"(37.78680912159582, -122.43032749430697)",138360278516,101.0,4.0,11.0,30.0,29490.0,13.0,11.0,6.0,10.0,0676/033,10.0
90319,201506027775,8,otc alterations permit,2015-06-02,2805,042,4241,,23rd,St,,,revision appl. 2014.1027.9928. clarification of 1-hr ceiling assembly.,complete,2015-06-04,2015-06-02,2015-06-02,2015-06-04,,,2.0,3.0,,,2016-05-27,1.0,1.0,1 family dwelling,1.0,2 family dwelling,2.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,8.0,Noe Valley,94114.0,"(37.7524576922497, -122.43740090913262)",1383557144728,84.0,3.0,5.0,22.0,28862.0,2.0,5.0,7.0,1.0,2805/042,1.0
90268,201506017730,8,otc alterations permit,2015-06-01,6630,031,577,,29th,St,,,to obtain final inspection under pa #200711148137. all work is complete.,issued,2015-06-01,2015-06-01,2015-06-01,,,,3.0,3.0,,,2016-05-26,1.0,1.0,1 family dwelling,1.0,2 family dwelling,2.0,0.0,,5.0,wood frame (5),5.0,wood frame (5),,8.0,Noe Valley,94131.0,"(37.743090941090905, -122.43265852080982)",1383503209522,84.0,9.0,5.0,22.0,63.0,2.0,5.0,4.0,1.0,6630/031,1.0
90234,201506017699,8,otc alterations permit,2015-06-01,6943,040,1172,,Plymouth,Av,,,revision appl. #2014.0924.7167. reconfigure the location of kitchen and family on first per plan.,complete,2015-07-27,2015-06-01,2015-06-04,2015-07-27,,,2.0,2.0,,,2016-05-29,1.0,1.0,1 family dwelling,1.0,1 family dwelling,2.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,7.0,Oceanview/Merced/Ingleside,94112.0,"(37.72319972863447, -122.45583193889203)",1383466214871,64.0,10.0,8.0,24.0,28861.0,9.0,4.0,5.0,5.0,6943/040,1.0
91013,201506048183,8,otc alterations permit,2015-06-04,7331,211,85,,Summit,Wy,,,"correction of lot number for 83,85 summit way, 83 summit way to be block 7331, lot 212 & 85 summit way to be block 7331, lot 211. reference pa #201405155811.",complete,2015-06-10,2015-06-04,2015-06-09,2015-06-10,,,,4.0,,,2016-06-03,1.0,1.0,,,2 family dwelling,2.0,0.0,,,,5.0,wood frame (5),,7.0,Lakeshore,94132.0,"(37.71508943485992, -122.47514246249116)",1384271504169,42.0,10.0,8.0,16.0,64.0,1.0,4.0,5.0,5.0,7331/211,2.0
